,Airline,Date_of_Journey,Source,Destination,Route,Total_Stops,Additional_Info,Price,journey_year,journey_month,journey_day,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,duration_hr
4817,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7354,2019,3,6,11,25,19,15,7
4818,Air India,2019-04-21,Banglore,Delhi,BLR → DEL,non-stop,No info,5438,2019,4,21,17,0,19,45,2
4819,Air Asia,2019-05-24,Kolkata,Banglore,CCU → BLR,non-stop,No info,4107,2019,5,24,22,50,1,20,2
4820,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,11134,2019,3,24,19,45,12,0,16
4821,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,15,20,55,12,35,15
4822,Air India,2019-05-24,Kolkata,Banglore,CCU → DEL → COK → BLR,2 stops,No info,14083,2019,5,24,7,0,1,20,18
4823,Vistara,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,9345,2019,9,6,7,10,23,25,16
4824,Jet Airways,2019-09-05,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12373,2019,9,5,17,30,12,35,19
4825,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10196,2019,6,15,16,0,1,30,9
4826,IndiGo,2019-04-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,5947,2019,4,15,16,0,21,0,5
4827,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,13044,2019,12,6,14,5,9,20,19
4828,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,2019,5,18,5,45,9,20,27
4829,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,27992,2019,1,3,5,45,20,20,14
4830,IndiGo,2019-03-24,Kolkata,Banglore,CCU → HYD → BLR,1 stop,No info,7476,2019,3,24,15,10,19,50,4
4831,Air India,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,10413,2019,9,6,7,0,20,25,13
4832,Multiple carriers,2019-01-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,10261,2019,1,6,11,40,19,15,7
4833,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,14151,2019,6,6,9,35,23,35,14
4834,Air India,2019-06-04,Banglore,Delhi,BLR → DEL,non-stop,No info,5176,2019,6,4,6,10,8,55,2
4835,Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14714,2019,6,6,10,0,4,25,18
4836,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,9314,2019,5,15,17,0,14,25,21
4837,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14714,2019,6,24,21,50,4,25,6
4838,Multiple carriers,2019-06-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,12192,2019,6,6,8,0,19,0,11
4839,SpiceJet,2019-03-04,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,1759,2019,3,4,22,45,0,15,1
4840,IndiGo,2019-03-27,Delhi,Cochin,DEL → MAA → COK,1 stop,No info,4744,2019,3,27,2,5,7,25,5
4841,Jet Airways,2019-05-21,Banglore,Delhi,BLR → DEL,non-stop,No info,7229,2019,5,21,19,50,22,50,3
4842,Jet Airways,2019-09-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,15029,2019,9,3,0,20,4,25,28
4843,IndiGo,2019-03-15,Kolkata,Banglore,CCU → BLR,non-stop,No info,4462,2019,3,15,20,25,23,5,2
4844,SpiceJet,2019-12-03,Chennai,Kolkata,MAA → CCU,non-stop,No info,6300,2019,12,3,8,20,10,35,2
4845,Air India,2019-03-21,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,2575,2019,3,21,19,30,20,45,1
4846,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,11087,2019,12,3,18,55,19,10,24
4847,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6305,2019,3,27,4,0,13,20,9
4848,Vistara,2019-09-03,Banglore,New Delhi,BLR → DEL,non-stop,No info,8290,2019,9,3,19,40,22,20,2
4849,Jet Airways,2019-06-18,Banglore,Delhi,BLR → DEL,non-stop,In-flight meal not included,5769,2019,6,18,7,10,10,10,3
4850,IndiGo,2019-12-04,Banglore,Delhi,BLR → DEL,non-stop,No info,4990,2019,12,4,21,15,0,15,3
4851,Air Asia,2019-03-03,Banglore,New Delhi,BLR → DEL,non-stop,No info,6135,2019,3,3,23,25,2,10,2
4852,IndiGo,2019-03-27,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,5733,2019,3,27,2,0,7,45,5
4853,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7670,2019,5,15,6,0,21,0,15
4854,Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,12819,2019,6,27,19,10,19,0,23
4855,IndiGo,2019-03-05,Banglore,Delhi,BLR → DEL,non-stop,No info,4823,2019,3,5,20,0,22,50,2
4856,IndiGo,2019-09-05,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6979,2019,9,5,4,55,21,0,16
4857,Air India,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,10493,2019,3,24,9,25,18,30,9
4858,Air India,2019-09-03,Delhi,Cochin,DEL → BHO → BOM → COK,2 stops,No info,16111,2019,9,3,20,0,19,15,23
4859,Air India,2019-09-06,Delhi,Cochin,DEL → GOI → BOM → COK,2 stops,No info,10651,2019,9,6,22,0,19,15,21
4860,IndiGo,2019-05-27,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6600,2019,5,27,5,5,16,10,11
4861,Jet Airways,2019-12-06,Delhi,Cochin,DEL → NAG → BOM → COK,2 stops,In-flight meal not included,10919,2019,12,6,14,35,12,35,22
4862,IndiGo,2019-03-21,Kolkata,Banglore,CCU → BLR,non-stop,No info,5198,2019,3,21,10,10,12,55,2
4863,Air India,2019-12-03,Banglore,New Delhi,BLR → BOM → JDH → DEL,2 stops,No info,12778,2019,12,3,8,50,16,20,31
4864,IndiGo,2019-03-27,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,2754,2019,3,27,19,5,20,30,1
4865,Jet Airways,2019-09-05,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,15129,2019,9,5,23,5,19,0,19
4866,IndiGo,2019-09-05,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7255,2019,9,5,20,25,1,30,5
4867,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14486,2019,3,21,7,5,13,20,6
4868,GoAir,2019-04-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6591,2019,4,21,7,0,12,55,5
4869,SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,non-stop,No check-in baggage included,3573,2019,5,21,21,10,0,5,2
4870,Jet Airways,2019-01-06,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,1,6,15,0,12,35,21
4871,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14388,2019,5,15,18,55,10,5,15
4872,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14714,2019,3,6,17,30,19,0,25
4873,Jet Airways,2019-12-06,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,In-flight meal not included,10368,2019,12,6,19,30,12,35,17
4874,SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,non-stop,No info,3384,2019,3,21,9,30,12,5,2
4875,Air India,2019-03-24,Kolkata,Banglore,CCU → BBI → BLR,1 stop,No info,7742,2019,3,24,12,0,13,40,25
4876,IndiGo,2019-09-06,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,6386,2019,9,6,2,0,7,45,5
4877,Jet Airways,2019-06-06,Banglore,Delhi,BLR → DEL,non-stop,In-flight meal not included,7229,2019,6,6,18,55,22,0,3
4878,Air India,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,8891,2019,6,5,9,25,18,30,9
4879,Multiple carriers,2019-01-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13587,2019,1,6,13,0,21,0,8
4880,IndiGo,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8227,2019,3,27,7,30,13,20,5
4881,Air India,2019-01-04,Kolkata,Banglore,CCU → GAU → DEL → BLR,2 stops,No info,12125,2019,1,4,9,50,23,15,13
4882,SpiceJet,2019-06-15,Kolkata,Banglore,CCU → BLR,non-stop,No info,3873,2019,6,15,22,20,0,40,2
4883,Multiple carriers,2019-12-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13377,2019,12,6,16,0,1,30,9
4884,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,10953,2019,12,5,20,25,23,35,27
4885,SpiceJet,2019-09-03,Kolkata,Banglore,CCU → BLR,non-stop,No info,4622,2019,9,3,6,55,9,35,2
4886,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14231,2019,3,24,13,55,10,5,20
4887,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,24,21,50,19,0,21
4888,IndiGo,2019-04-15,Banglore,Delhi,BLR → DEL,non-stop,No info,3943,2019,4,15,22,10,1,0,2
4889,Vistara,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,8610,2019,12,5,20,20,20,20,24
4890,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6717,2019,3,21,7,5,22,20,15
4891,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,10877,2019,6,24,8,30,19,0,10
4892,IndiGo,2019-01-05,Kolkata,Banglore,CCU → HYD → BLR,1 stop,No info,4775,2019,1,5,15,15,20,5,4
4893,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14571,2019,9,6,16,30,22,35,6
4894,SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No check-in baggage included,6205,2019,3,24,9,35,12,30,2
4895,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,14151,2019,5,18,20,25,18,0,21
4896,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6637,2019,3,27,11,40,21,0,9
4897,Air India,2019-03-03,Banglore,New Delhi,BLR → TRV → COK → DEL,2 stops,No info,12074,2019,3,3,7,30,10,50,27
4898,IndiGo,2019-06-21,Kolkata,Banglore,CCU → BLR,non-stop,No info,4804,2019,6,21,11,30,14,5,2
4899,IndiGo,2019-06-05,Kolkata,Banglore,CCU → PNQ → BLR,1 stop,No info,7252,2019,6,5,21,0,2,15,5
4900,IndiGo,2019-03-06,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6069,2019,3,6,7,35,12,10,4
4901,Jet Airways,2019-09-05,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,15554,2019,9,5,11,30,19,0,7
4902,IndiGo,2019-05-18,Chennai,Kolkata,MAA → CCU,non-stop,No info,3850,2019,5,18,15,40,18,25,2
4903,Air India,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,No info,12940,2019,5,18,18,45,19,15,24
4904,SpiceJet,2019-01-05,Kolkata,Banglore,CCU → IXB → BLR,1 stop,No info,8844,2019,1,5,11,15,18,30,7
4905,Jet Airways,2019-12-06,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,15190,2019,12,6,7,5,19,0,11
4906,Jet Airways,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,9134,2019,3,15,8,0,16,10,8
4907,Jet Airways,2019-09-04,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,11822,2019,9,4,20,55,12,35,15
4908,Multiple carriers,2019-09-05,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,15078,2019,9,5,15,0,1,30,10
4909,SpiceJet,2019-01-03,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,11005,2019,1,3,22,45,0,10,1
4910,IndiGo,2019-03-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7006,2019,3,21,15,0,1,35,10
4911,IndiGo,2019-09-03,Banglore,New Delhi,BLR → HYD → DEL,1 stop,No info,4259,2019,9,3,16,55,21,50,4
4912,Air India,2019-09-03,Delhi,Cochin,DEL → HYD → BOM → COK,2 stops,No info,11762,2019,9,3,21,30,19,15,21
4913,Jet Airways,2019-03-24,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,8147,2019,3,24,8,55,9,0,24
4914,SpiceJet,2019-05-27,Kolkata,Banglore,CCU → BLR,non-stop,No check-in baggage included,3841,2019,5,27,6,55,9,30,2
4915,IndiGo,2019-03-04,Kolkata,Banglore,CCU → BLR,non-stop,No info,4174,2019,3,4,17,15,19,50,2
4916,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12898,2019,5,27,17,30,4,25,10
4917,SpiceJet,2019-06-06,Delhi,Cochin,DEL → MAA → COK,1 stop,No info,5583,2019,6,6,15,45,22,5,6
4918,Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,6,11,30,19,0,7
4919,Jet Airways,2019-06-05,Banglore,Delhi,BLR → DEL,non-stop,No info,7229,2019,6,5,6,0,8,45,2
4920,Jet Airways,2019-05-21,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,No info,15129,2019,5,21,5,30,4,25,22
4921,Vistara,2019-09-06,Banglore,Delhi,BLR → DEL,non-stop,No info,4668,2019,9,6,21,0,23,50,2
4922,IndiGo,2019-04-18,Banglore,Delhi,BLR → DEL,non-stop,No info,4990,2019,4,18,18,25,21,20,2
4923,IndiGo,2019-03-24,Kolkata,Banglore,CCU → BLR,non-stop,No info,6985,2019,3,24,22,10,0,55,2
4924,IndiGo,2019-03-04,Banglore,Delhi,BLR → DEL,non-stop,No info,4823,2019,3,4,16,55,19,55,3
4925,Vistara,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,9345,2019,5,18,7,10,18,50,11
4926,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,5,15,14,5,16,20,26
4927,Jet Airways,2019-09-05,Delhi,Cochin,DEL → IDR → BOM → COK,2 stops,No info,14657,2019,9,5,9,35,12,35,27
4928,IndiGo,2019-03-06,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6818,2019,3,6,5,5,16,10,11
4929,Air India,2019-05-15,Delhi,Cochin,DEL → NAG → BOM → COK,2 stops,No info,11543,2019,5,15,5,55,7,40,25
4930,SpiceJet,2019-03-24,Mumbai,Hyderabad,BOM → HYD,non-stop,No check-in baggage included,2175,2019,3,24,22,45,0,10,1
4931,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,6,6,18,55,16,20,21
4932,Jet Airways,2019-01-04,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,8040,2019,1,4,7,5,8,30,1
4933,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14571,2019,6,6,8,25,20,45,12
4934,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14571,2019,9,6,6,30,12,0,5
4935,Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12898,2019,5,21,16,0,12,35,20
4936,Multiple carriers,2019-12-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14848,2019,12,6,10,0,19,15,9
4937,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8283,2019,5,18,19,0,1,30,6
4938,Jet Airways,2019-04-21,Banglore,Delhi,BLR → DEL,non-stop,No info,7229,2019,4,21,15,15,18,10,2
4939,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,8405,2019,5,18,11,40,1,30,13
4940,Jet Airways,2019-03-03,Delhi,Cochin,DEL → BHO → BOM → COK,2 stops,No info,19266,2019,3,3,5,40,4,25,22
4941,Air India,2019-06-03,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,11038,2019,6,3,17,40,8,15,14
4942,Jet Airways,2019-12-06,Banglore,Delhi,BLR → DEL,non-stop,No info,8016,2019,12,6,18,55,22,0,3
4943,SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,non-stop,No info,3384,2019,3,21,17,45,20,5,2
4944,IndiGo,2019-09-04,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6573,2019,9,4,18,35,1,30,6
4945,Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,No info,12819,2019,6,24,23,5,19,0,19
4946,Jet Airways,2019-05-21,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,No info,15129,2019,5,21,9,40,4,25,18
4947,IndiGo,2019-06-27,Banglore,Delhi,BLR → DEL,non-stop,No info,3943,2019,6,27,23,30,2,20,2
4948,Jet Airways,2019-03-24,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,7832,2019,3,24,22,50,12,15,13
4949,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No info,6860,2019,3,24,7,10,10,5,2
4950,IndiGo,2019-12-05,Banglore,Delhi,BLR → DEL,non-stop,No info,4823,2019,12,5,18,25,21,20,2
4951,Air India,2019-06-05,Banglore,Delhi,BLR → DEL,non-stop,No info,5228,2019,6,5,17,0,19,45,2
4952,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,13364,2019,1,4,14,5,19,50,5
4953,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,1 stop,No info,13555,2019,3,18,16,55,7,40,14
4954,IndiGo,2019-06-03,Chennai,Kolkata,MAA → CCU,non-stop,No info,5277,2019,6,3,22,5,0,25,2
4955,Air India,2019-12-05,Kolkata,Banglore,CCU → DEL → COK → BLR,2 stops,No info,13243,2019,12,5,7,0,1,20,18
4956,Multiple carriers,2019-09-05,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,9794,2019,9,5,6,0,19,0,13
4957,Jet Airways,2019-06-06,Banglore,Delhi,BLR → DEL,non-stop,No info,8016,2019,6,6,6,0,8,45,2
4958,Multiple carriers,2019-01-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13377,2019,1,6,17,30,1,30,8
4959,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,12692,2019,9,6,17,0,22,5,29
4960,Air India,2019-06-06,Kolkata,Banglore,CCU → JAI → BOM → BLR,2 stops,No info,10697,2019,6,6,8,20,18,30,10
4961,SpiceJet,2019-03-27,Chennai,Kolkata,MAA → CCU,non-stop,No info,3384,2019,3,27,9,30,12,5,2
4962,IndiGo,2019-09-05,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6734,2019,9,5,6,50,22,30,15
4963,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,6,6,20,0,9,20,13
4964,Air India,2019-05-24,Banglore,Delhi,BLR → DEL,non-stop,No info,5228,2019,5,24,21,5,23,55,2
4965,Air India,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,8891,2019,5,24,9,25,11,10,25
4966,IndiGo,2019-03-27,Chennai,Kolkata,MAA → CCU,non-stop,No info,3384,2019,3,27,7,55,10,15,2
4967,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,17057,2019,3,3,8,0,21,0,13
4968,IndiGo,2019-03-04,Kolkata,Banglore,CCU → HYD → BLR,1 stop,No info,3480,2019,3,4,19,20,23,45,4
4969,SpiceJet,2019-03-05,Banglore,Delhi,BLR → DEL,non-stop,No info,4423,2019,3,5,9,30,12,20,2
4970,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14178,2019,9,6,6,30,4,40,22
4971,SpiceJet,2019-06-24,Delhi,Cochin,DEL → PNQ → COK,1 stop,No check-in baggage included,4760,2019,6,24,8,45,13,15,4
4972,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,14151,2019,1,4,20,25,9,45,13
4973,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,12681,2019,1,4,20,0,16,20,20
4974,Jet Airways,2019-03-04,Delhi,Cochin,DEL → COK,non-stop,In-flight meal not included,4886,2019,3,4,11,0,14,15,3
4975,Air Asia,2019-06-21,Kolkata,Banglore,CCU → BLR,non-stop,No info,3807,2019,6,21,10,20,12,55,2
4976,IndiGo,2019-05-18,Kolkata,Banglore,CCU → BLR,non-stop,No info,4804,2019,5,18,4,40,7,15,2
4977,IndiGo,2019-09-03,Banglore,New Delhi,BLR → HYD → DEL,1 stop,No info,5694,2019,9,3,7,30,12,20,4
4978,Multiple carriers,2019-05-24,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,10197,2019,5,24,9,0,19,0,10
4979,IndiGo,2019-06-15,Banglore,Delhi,BLR → DEL,non-stop,No info,4077,2019,6,15,23,30,2,20,2
4980,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,14781,2019,1,5,6,30,18,15,11
4981,IndiGo,2019-09-05,Kolkata,Banglore,CCU → BLR,non-stop,No info,5224,2019,9,5,11,30,14,5,2
4982,IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,non-stop,No info,4804,2019,4,24,21,25,0,5,2
4983,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,8586,2019,5,21,6,30,4,40,22
4984,Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BLR,1 stop,No info,7662,2019,5,21,12,0,13,15,25
4985,Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,18550,2019,3,3,9,55,18,50,8
4986,Vistara,2019-12-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,8610,2019,12,6,17,0,23,25,6
4987,Jet Airways,2019-01-05,Banglore,Delhi,BLR → DEL,non-stop,No info,7229,2019,1,5,7,10,10,10,3
4988,Air India,2019-06-06,Kolkata,Banglore,CCU → DEL → AMD → BLR,2 stops,No info,12009,2019,6,6,10,0,5,25,19
4989,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,14151,2019,5,18,17,0,21,5,28
4990,Air India,2019-09-04,Delhi,Cochin,DEL → COK,non-stop,No info,4729,2019,9,4,5,10,8,0,2
4991,Air India,2019-03-03,Delhi,Cochin,DEL → COK,non-stop,No info,7931,2019,3,3,5,10,8,0,2
4992,Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12898,2019,5,21,11,30,12,35,25
4993,Jet Airways,2019-09-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,16289,2019,9,3,6,50,4,25,21
4994,Jet Airways,2019-03-06,Delhi,Cochin,DEL → IDR → BOM → COK,2 stops,No info,13292,2019,3,6,21,25,19,0,21
4995,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7618,2019,5,27,8,0,21,0,13
4996,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13377,2019,6,15,18,15,1,30,7
4997,Air Asia,2019-12-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,5192,2019,12,6,7,35,23,30,15
4998,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,7268,2019,6,24,11,40,19,15,7
4999,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,12384,2019,5,24,20,25,9,45,13
5000,IndiGo,2019-03-15,Banglore,New Delhi,BLR → DEL,non-stop,No info,5694,2019,3,15,4,0,6,50,2
5001,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → JDH → DEL,2 stops,No info,16338,2019,3,18,8,55,15,55,7
5002,Multiple carriers,2019-06-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7198,2019,6,6,13,0,1,30,12
5003,Jet Airways,2019-03-21,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,6540,2019,3,21,8,0,18,50,10
5004,Jet Airways,2019-03-06,Mumbai,Hyderabad,BOM → HYD,non-stop,In-flight meal not included,3210,2019,3,6,19,35,21,5,1
5005,SpiceJet,2019-06-18,Kolkata,Banglore,CCU → BLR,non-stop,No info,3873,2019,6,18,6,55,9,30,2
5006,Air Asia,2019-04-21,Banglore,Delhi,BLR → DEL,non-stop,No info,4483,2019,4,21,11,10,13,55,2
5007,Air Asia,2019-05-15,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,6752,2019,5,15,16,45,22,25,5
5008,IndiGo,2019-12-04,Banglore,Delhi,BLR → DEL,non-stop,No info,4823,2019,12,4,7,10,10,5,2
5009,Air India,2019-06-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,10203,2019,6,5,20,30,8,55,12
5010,SpiceJet,2019-05-18,Kolkata,Banglore,CCU → BLR,non-stop,No info,3873,2019,5,18,22,20,0,40,2
5011,SpiceJet,2019-03-27,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,2017,2019,3,27,13,10,14,30,1
5012,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,8586,2019,6,6,8,25,4,40,20
5013,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,1 Long layover,31825,2019,1,3,22,50,10,25,11
5014,Air India,2019-05-15,Kolkata,Banglore,CCU → DEL → COK → BLR,2 stops,No info,16057,2019,5,15,10,0,13,45,27
5015,Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,6,2,15,4,25,26
5016,IndiGo,2019-01-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,6593,2019,1,6,20,25,1,30,5
5017,SpiceJet,2019-06-24,Banglore,Delhi,BLR → DEL,non-stop,No info,3971,2019,6,24,21,10,0,5,2
5018,Jet Airways,2019-09-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,16289,2019,9,3,19,15,18,50,23
5019,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,9314,2019,1,5,9,35,9,45,24
5020,Jet Airways,2019-05-21,Banglore,Delhi,BLR → DEL,non-stop,In-flight meal not included,4030,2019,5,21,17,45,20,45,3
5021,Multiple carriers,2019-12-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13587,2019,12,6,14,0,21,0,7
5022,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,9314,2019,1,5,20,25,18,0,21
5023,Air Asia,2019-06-15,Delhi,Cochin,DEL → BLR → COK,1 stop,No info,6253,2019,6,15,20,45,7,10,10
